Id,Name,Language,keywords
1020396,the gospel of john,eng, francis_j._moloney michael_glazier gospel narrative moloneys fourth commentary
1073868,hanslick on the musically beautiful: sixteen lectures on the musical aesthetics of eduard hanslick,eng, geoffrey_payzant 1-877275-49-2 musikalischschnen hanslicks hanslick musically musical
1038843,never tell your name,eng, josie_levy_martin 1st_book_library nun memoir wars jewish war
1021643,the reign of law,eng, james_lane_allen 1st_world_library nursery rockinghorse kentuckians anglosaxon backwoods
1019884,cousin phillis,eng, elizabeth_gaskell 1st_world_library railway father engineer perseverance machinery
1052044,the marvelous land of oz,eng, l._frank_baum 1st_world_library gillikins gillikin tippetarius oz tip
1081481,philip steele of the royal northwest mounted police,eng, james_oliver_curwood 1st_world_library_-_literary_society roaring night terrors storm wind
1030195,morning star,eng, h._rider_haggard 1st_world_library_-_literary_society memphis egypt delta governor thebes
1030463,the jew and other stories,eng, ivan_turgenev 1st_world_library_-_literary_society dickens literature novelists portraits 1864turgenev
1021646,the bride of the mistletoe,eng, james_lane_allen 1st_world_library_-_literary_society novel farmhouse books fiction ebooks
1090099,kitty's class day and other stories,eng, louisa_may_alcott 1st_world_library_-_literary_society proverb picket bells christmas stories
1095708,thou shalt not think; the brutally frank guide to life,eng, david_jack 1st_world_publishing thou book profound uncompromising mental
1095704,thou shalt not think: the brutally frank guide to life,eng, david_jack 1st_world_publishing thou book profound uncompromising mental
1033882,the natural cure to your migraine headache,eng, andrew_jones 48_hour_books migraine stepbystep headaches hormones treatment
1008460,dear london: notes from the big city,eng," irma_kurtz 4th_estate,_limited kurtz kurtzs autobiography magazine memoir"
1009975,a computer called leo: lyons teashops and the world's first office computer,eng," georgina_ferry 4th_estate,_limited teashops teashop clerks invention office"
1013522,the art of french kissing,eng, kristin_harmel 5_spot_pub emma paris french shes sullivan
1097241,richard greaves: anarchitect / anarchitecte,eng, r._cardinal 5continents greaves reconstruct construction dismantle architectural
1085549,"the 9to5 guide to combating sexual harassment: candid advice from 9to5, the national association of working women",eng, ellen_bravo 9to5_working_women_education_fund harassment harassed abuse sexual workplace
1003725,"comet in moominland (the moomins, #2)",eng,"the_moomins,_#2 tove_jansson a_&_c_black moomintroll comet moominvalley adventures adventure"
1099901,the boy who cried horse,en-GB, terry_deary a_&_c_black acheron greeks trojan troy helen
1004874,cry in the dark (black cats),eng, dee_shulman a_&_c_black_publishers_ltd ghost timeslip victorian letterwriting family
1077119,100 must-read science fiction novels,en-US, stephen_e._andrews a_&c_black genre novels fiction sf recommendations
1026602,realistic image synthesis using photon mapping,eng, henrik_wann_jensen a_k_peters illumination photon mapping tracing shimmering
1073011,a field guide to digital color,eng, maureen_stone a_k_peters color graphics digital design guide
1032753,asymptotics and special functions,eng, frank_w.j._olver a_k_peters physicists mathematicians book courses graduate
1043579,numerical methods,eng, wolfgang_boehm a_k_peters numerical methods mathematics textbook analysis
1005958,gerald massey's lectures,eng, gerald_massey a&b_publishers_group gnostic prechristian christianity apostle paul
1070492,writers' and artists' yearbook 2008,eng, a&c_black a&c_black media copyright markets epublishing manuscript
1062794,a lie of the mind: a play in three acts,eng, sam_shepard a&c_black playwright magazine york generation greatest
1077946,beautiful thing,eng, jonathan_harvey a&c_black fairytale adolescent youth comedy exquisitely
1048873,field guide to the birds of the atla,eng, tony_clarke a&c_black plumages species migrant vagrant races
1022177,the wild flowers of britain & ireland,eng, marjorie_blamey a&c_black flora plants irish british illustrated
1085796,the compact disc handbook,eng, ken_pohlmann a-r_editions disc vinyl tapes recording compact
1050202,"gray-haired grins & giggles: guess what-grammy & grandy have a sense of humor, too!",eng, margaret_g._bigger a._borough_books retirement life senior childhood adults
1027226,purification of the mind; discourses by abdul qadir gilani,eng, ʿabd_al-qadir_al-jilani a._s._noordeen alkhatir algaylani alqadir sufi alcasnazanis
1002748,"flower secrets revealed: using flowers to heal, beautify, and energize your life",eng, carly_wall a.r.e._press_(association_of_research_&_enlightenment) beekeeping recipes oils flower medicinal
1041760,"your life: why it is the way it is, and what you can do about it: understanding the universal laws",eng, bruce_mcarthur a.r.e._press_(association_of_research_&_enlightenment) laws life living forgiving universal
1085424,aa spiral guide paris,eng, teresa_fisher aa_publishing paris hotspots crowds city guide
1054263,there is no death and there are no dead,eng, tom_w._butler aa-evp communicating communication death transcommunication dead
1037579,"missile wounds of the head and neck, volume ii",eng, bizhan_aarabi aans intracranial injuriescraniocerebral craniocerebral cerebral hemorrhage
1037578,"missile wounds of the head and neck, volume i",eng, bizhan_aarabi aans craniocerebral woundsdistributed wounds woundsmissile wound
1086993,a knavish piece of work,eng, ejner_fulsang aarhus_publishing vietnam cambodians cambodia khmer knavish
1040166,religious movements in europe,eng, johannes_aagaard aarhus_universitetsforlag spirituality secular theology religions religious
1089869,roman art and imperial policy,eng, niels_hannestad aarhus_university_press romersk kunst translation propaganda som
1040895,vessel of sadness,eng, william_woodruff abacus anzio italian 1944 rome italy
1013940,the beast (grens & sundkvist #1),eng,grens_&_sundkvist_#1 anders_roslund abacus murderer crimewriting novel murdered glass
1091716,sea glass,eng, anita_shreve abacus sexton hampshire newlyweds textilemanufacturing marriage
1087092,love medicine,eng, louise_erdrich abacus kashpaws kashpaw families medicine lamartines
1061814,dreams of dead womens handbags,eng, shena_mackay abacus orchard nightmares mackay stories author
1080661,a tall man in a low land,eng, harry_pearson abacus belgians brussels belgium harry british
1067460,"good companions: an anthology to inspire, amuse or console",eng, john_bayley abacus_(uk) bayley poems anthologies novels companionsinspiring
1022172,interesting times: a twentieth-century life,eng, eric_j._hobsbawm abacus_(uk) 1917 revolutions revolution hobsbawms autobiography
1051690,howling at the moon: confessions of a music mogul in an age of excess,eng, walter_yetnikoff abacus/time_warner_book_group_uk biz springsteen debauchery walter maniacal
1020812,"kill or cure (the afterblight chronicles, #2)",eng,"the_afterblight_chronicles,_#2 rebecca_levene abaddon_books jasmine jasmines underground mysterious bunker"
1045791,the spear of destiny (sniper elite),eng, jaspre_bark abaddon_books sniper stalin stalingrad bullet enemy
1021050,david smith,eng, karen_wilkin abbeville_press artists sculpture sculptures cubism art
1043048,passion by design: the art and times of tamara de lempicka,eng, kizette_de_lempicka-foxhall abbeville_press lempicka portraits tamara famous biography
1090273,bernard maybeck: visionary architect,eng, sally_b._woodbridge abbeville_press architect architects designs maybeck illustrated
1036666,the great country houses of hungary,eng, michael_pratt abbeville_press castles baroque castle hungarygçös aristocracy
1098921,antonio gaudi: master architect,eng, juan_bassegoda_nonell abbeville_press gaudí gaudís architects facades sculptors
1039489,"treasures of the national gallery, london",eng, neil_macgregor abbeville_press paintings gallerys gallery painting raphael
1039435,architecture of the old south,eng, mills_lane abbeville_press colonial south civil photographic architecture
1036669,the great country houses of poland,eng, michael_pratt abbeville_press poland polands castles houses homes
1021859,seven trails west,en-US, arthur_king_peters abbeville_press trails trail routes railroad west
1036667,the great country houses of the czech republic and slovakia,eng, michael_pratt abbeville_press castles slovakia czech manors hills
1013139,splendors of ancient egypt,eng, william_h._peck abbeville_press sculptures mummy tomb egyptian goddesses
1083090,american watercolors,eng, christopher_finch abbeville_press eyedazzling watercolor illustrations delight color
1049386,when the game was black and white: the illustrated history of the negro leagues,eng, bruce_chadwick abbeville_press baseball memorabilia majorleague sports history
1008096,treasures of the national museum of the american indian: smithsonian institute,eng, clara_sue_kidwell abbeville_press smithsonian museum paintings exhibition art
1016191,sargent abroad: figures and landscapes,eng, donna_seldin_janis abbeville_press paintings painting portraits sargent portraitists
1040866,when mom and dad divorce,eng, emily_menendez-aponte abbey_press divorce emotionally trauma emotions children
1081760,making a boring day better: a kid's guide to battling the blahs,eng, r.w._alley abbey_press children kids alley illustrated care
1078139,"the burger court: justices, rulings, and legacy",eng, tinsley_e._yarbrough abc-clio judicial court rulings burger records
1043268,bill clinton: the 42nd president of the united states,eng, john_hamilton abdo_&_daughters republican election political president 1992
1065737,greyhounds,eng, abdo_publishing abdo_publishing greyhounds pets characteristics physical describes
1016284,will smith,eng, paul_joseph abdo_publishing_company britney biography ricky music singing
1056245,5 miles to empty,eng, jarold_imes abednego's_free franklin neighborhood gangster denver mike
1056244,worth fighting 4,eng, jarold_imes abednego's_free gangs neighborhood martin martins gang
1062289,cradle and the star advent 96 study,eng, reginald_mallett abingdon_press advent study thematic activities fourweek
1015745,10 things i wish i had known when i started in youth ministry: youth ministry,eng, reuellyn_pletcher abingdon_press ministry ministries volunteers youth educators
1085356,faithful change: the personal and public challenges of postmodern life,eng, james_w._fowler abingdon_press faith faithful change development social
1064018,all loves excelling: new tunes to familiar charles wesley hymn texts,eng, dan_damon abingdon_press hymn abingdon texts theology tune
1027006,food at the time of the bible,eng, miriam_feinberg_vamosh abingdon_press supper recipes biblical scripture food
1014085,"passion, power and praise: a model for men's spirituality from the life of david",eng, james_a._harnish abingdon_press testament david prayers manhood faith
1049169,a mile in her shoes: lessons from the lives of old testament women (sisters),eng, sheron_c._patterson abingdon_press abigail testament bible hannah women
1014052,john wesley's life & ethics,eng, ronald_h._stone abingdon_press wesley methodist wesleys ethics ethical
1085229,preaching the psalms,eng, j._clinton_mccann_jr. abingdon_press psalms scripture congregations preacher preachers
1087103,wesley and the people called methodists,eng, richard_p._heitzenrater abingdon_press wesleyan methodism theology eighteenth pilgrimage
1028793,counseling troubled teens & their families: a handbook for pastors and youth workers,eng, andrew_j._weaver abingdon_press clergy pastors adolescents pastoral disorders
1050609,theological approaches to christian education,eng, jack_l._seymour abingdon_press theological theology ecumenical christian educators
1012424,what about the soul?: neuroscience and christian anthropology,eng, joel_b._green abingdon_press theology theological scientific resurrection darwin
1086744,memories of god,eng, roberta_c._bondi abingdon_press roberta resurrection crucifixion bondi christian
1086749,night on the flint river,eng, roberta_c._bondi abingdon_press embraced gods moments god profound
1082482,leading beyond the walls,eng, adam_hamilton abingdon_press pastoral pastor theological congregations resurrection
1008921,"goodnight, dewberry bear",eng, dori_chaconas abingdon_press prayer prayers pray mama creaturesa
1086751,houses,eng, roberta_c._bondi abingdon_press memoir grace godhouses autobiographical theological
1034442,grace sufficient: a history of women in american methodism 1760-1968,eng, jean_miller_schmidt abingdon_press methodist sermons preachers spirituality religious
1066539,revolution in leadership: training apostles for tomorrow's church (ministry for the third millennium series),eng, reggie_mcneal abingdon_press disciples clergy ministry ministriesdrawing congregation
1008851,goodnight prayers oaktree wood series,eng, alan_parry abingdon_press children prayer ages animals stories
1085561,shared wisdom: a guide to case study reflection in ministry,eng, jeffrey_h._mahan abingdon_press theological ministry biblical casestudy case
1037862,a community called atonement,eng, scot_mcknight abingdon_press atonement theology theological churchs churchbut
1092854,a sacred primer: the essential guide to quiet time and prayer,eng, elizabeth_harper_neeld abingdon_press devotional spiritual prayer serene sacred
1025240,new testament stories from the back side: bible stories with a twist,eng, j._ellsworth_kalas abingdon_press testament books stories retelling guide
1084265,teaching godly play,eng, jerome_w._berryman abingdon_press religiouseducation montessori denominational teaching classroom
1053693,keeping holy time year b: studying the revised common lectionary,eng, douglas_e._wingeier abingdon_press liturgical worship sunday study weekly
